timestamp,temperature,pH,DO
2024-01-01 00:46:00,23.62,7.64,6.52
2024-01-01 00:47:00,24.84,7.0,5.8
2024-01-01 00:48:00,24.27,7.55,5.46
2024-01-01 00:49:00,22.58,7.16,5.74
2024-01-01 00:50:00,24.25,7.6,6.68
2024-01-01 00:51:00,23.68,7.19,6.52
2024-01-01 00:52:00,23.45,7.24,6.39
2024-01-01 00:53:00,24.48,7.42,6.32
2024-01-01 00:54:00,24.81,7.18,7.51
2024-01-01 00:55:00,24.73,7.36,6.09
2024-01-01 00:56:00,23.32,7.14,6.96
2024-01-01 00:57:00,23.74,7.0,6.5
2024-01-01 00:58:00,24.25,7.81,6.47
2024-01-01 00:59:00,24.77,7.11,7.09
2024-01-01 01:00:00,23.6,7.45,7.23
2024-01-01 01:01:00,23.84,7.73,6.38
2024-01-01 01:02:00,23.1,7.32,6.9
2024-01-01 01:03:00,23.03,7.25,6.68
2024-01-01 01:04:00,24.64,7.57,6.5
2024-01-01 01:05:00,25.07,7.84,6.6
2024-01-01 01:06:00,23.93,7.15,6.16
2024-01-01 01:07:00,24.79,7.45,6.35
2024-01-01 01:08:00,24.28,7.0,6.21
2024-01-01 01:09:00,23.47,7.38,6.95
2024-01-01 01:10:00,24.28,7.51,6.45
2024-01-01 01:11:00,25.22,7.24,5.85
2024-01-01 01:12:00,23.96,7.36,6.14
2024-01-01 01:13:00,25.24,7.08,4.9
2024-01-01 01:14:00,22.0,7.52,6.25
2024-01-01 01:15:00,24.64,7.82,6.52
2024-01-01 01:16:00,24.05,7.17,6.43
2024-01-01 01:17:00,23.75,7.31,7.49
2024-01-01 01:18:00,24.06,7.65,6.79
2024-01-01 01:19:00,22.39,7.86,6.77
2024-01-01 01:20:00,23.81,7.05,5.68
2024-01-01 01:21:00,24.27,7.45,6.32
2024-01-01 01:22:00,25.17,7.58,6.26
2024-01-01 01:23:00,23.57,7.47,6.11
2024-01-01 01:24:00,23.34,7.0,6.1
2024-01-01 01:25:00,23.58,7.65,5.6
2024-01-01 01:26:00,24.72,7.96,5.86
2024-01-01 01:27:00,24.25,7.53,6.94
2024-01-01 01:28:00,23.56,7.19,6.43
2024-01-01 01:29:00,24.39,7.35,6.25
2024-01-01 01:30:00,24.06,8.03,6.5
2024-01-01 01:31:00,24.76,7.77,7.08
2024-01-01 01:32:00,23.42,7.69,6.5
2024-01-01 01:33:00,23.72,7.61,6.77
2024-01-01 01:34:00,23.67,7.3,6.08
2024-01-01 01:35:00,22.81,7.44,6.19
2024-01-01 01:36:00,24.22,7.48,6.68
2024-01-01 01:37:00,24.19,7.66,7.45
2024-01-01 01:38:00,23.98,7.95,7.21
2024-01-01 01:39:00,23.79,7.84,6.79
2024-01-01 01:40:00,22.85,7.07,6.58
2024-01-01 01:41:00,23.64,7.57,7.2
2024-01-01 01:42:00,23.71,7.72,6.9
2024-01-01 01:43:00,23.34,7.69,5.35
2024-01-01 01:44:00,23.85,7.31,5.97
2024-01-01 01:45:00,24.3,8.37,6.67
2024-01-01 01:46:00,25.49,7.12,5.61
2024-01-01 01:47:00,24.12,7.18,6.05
2024-01-01 01:48:00,24.18,7.57,6.15
2024-01-01 01:49:00,23.92,8.14,6.37
2024-01-01 01:50:00,22.44,7.25,6.36
2024-01-01 01:51:00,23.96,7.42,6.36
2024-01-01 01:52:00,24.03,7.82,6.91
2024-01-01 01:53:00,25.95,7.49,6.37
2024-01-01 01:54:00,23.82,7.4,6.31
2024-01-01 01:55:00,24.22,7.67,5.83
2024-01-01 01:56:00,23.95,7.58,7.01
2024-01-01 01:57:00,23.04,7.81,6.16
2024-01-01 01:58:00,24.89,7.89,5.96
2024-01-01 01:59:00,24.58,7.59,6.61
2024-01-01 02:00:00,24.61,7.59,6.12
2024-01-01 02:01:00,23.25,7.56,6.24
2024-01-01 02:02:00,25.1,7.65,6.63
2024-01-01 02:03:00,22.85,7.52,6.34
2024-01-01 02:04:00,24.44,7.5,7.66
2024-01-01 02:05:00,25.73,7.86,6.46
2024-01-01 02:06:00,23.18,7.95,6.81
2024-01-01 02:07:00,23.52,7.05,5.53
2024-01-01 02:08:00,24.05,7.5,6.07
2024-01-01 02:09:00,23.57,7.29,5.96
2024-01-01 02:10:00,22.73,7.41,6.02
2024-01-01 02:11:00,24.03,7.62,6.71
2024-01-01 02:12:00,23.12,7.7,7.02
2024-01-01 02:13:00,24.35,7.47,6.67
2024-01-01 02:14:00,23.24,7.0,6.39
2024-01-01 02:15:00,25.21,7.21,6.18
2024-01-01 02:16:00,23.35,7.77,7.06
2024-01-01 02:17:00,23.71,7.0,7.54
2024-01-01 02:18:00,24.62,7.86,6.57
2024-01-01 02:19:00,22.99,7.66,6.97
2024-01-01 02:20:00,24.15,7.89,6.67
2024-01-01 02:21:00,25.02,7.44,6.88
2024-01-01 02:22:00,22.69,7.0,5.92
2024-01-01 02:23:00,24.12,7.63,6.26
2024-01-01 02:24:00,24.18,7.88,6.7
2024-01-01 02:25:00,24.6,7.78,7.11
2024-01-01 02:26:00,22.98,7.3,6.09
2024-01-01 02:27:00,22.91,7.53,5.48
2024-01-01 02:28:00,24.39,7.34,6.25
2024-01-01 02:29:00,24.21,7.25,7.01
2024-01-01 02:30:00,24.17,7.79,5.71
2024-01-01 02:31:00,24.25,7.14,5.91
2024-01-01 02:32:00,23.43,7.23,6.58
2024-01-01 02:33:00,24.16,7.17,6.44
2024-01-01 02:34:00,24.2,7.05,6.8
2024-01-01 02:35:00,23.4,7.54,5.89
2024-01-01 02:36:00,25.46,7.85,6.34
2024-01-01 02:37:00,24.35,7.44,7.1
2024-01-01 02:38:00,23.02,7.05,5.9
2024-01-01 02:39:00,24.49,7.75,7.24
2024-01-01 02:40:00,23.19,8.01,5.97
2024-01-01 02:41:00,24.6,7.31,6.92
2024-01-01 02:42:00,24.89,7.36,6.31
2024-01-01 02:43:00,23.31,7.65,5.93
2024-01-01 02:44:00,24.74,7.99,6.25
2024-01-01 02:45:00,24.3,7.34,6.77
2024-01-01 02:46:00,24.62,7.1,6.5
2024-01-01 02:47:00,25.48,7.69,7.06
2024-01-01 02:48:00,23.77,7.74,7.22
2024-01-01 02:49:00,23.36,7.5,5.91
2024-01-01 02:50:00,23.25,7.33,5.87
2024-01-01 02:51:00,23.31,7.8,5.85
2024-01-01 02:52:00,23.9,7.66,6.05
2024-01-01 02:53:00,24.24,7.27,7.05
2024-01-01 02:54:00,24.19,7.51,6.78
2024-01-01 02:55:00,24.63,7.09,6.23
2024-01-01 02:56:00,23.98,7.71,6.49
2024-01-01 02:57:00,25.13,7.42,7.2
2024-01-01 02:58:00,23.75,7.37,7.45
2024-01-01 02:59:00,26.14,7.49,6.63
2024-01-01 03:00:00,24.46,7.51,5.17
2024-01-01 03:01:00,23.28,7.77,6.65
2024-01-01 03:02:00,23.11,7.68,6.97
2024-01-01 03:03:00,24.35,7.45,6.61
2024-01-01 03:04:00,23.78,7.73,6.86
2024-01-01 03:05:00,24.53,7.62,6.68
2024-01-01 03:06:00,24.34,7.37,5.88
2024-01-01 03:07:00,23.9,7.46,6.06
2024-01-01 03:08:00,23.28,7.46,6.34
2024-01-01 03:09:00,22.75,7.65,7.03
2024-01-01 03:10:00,23.6,7.39,6.12
2024-01-01 03:11:00,24.65,7.38,6.73
2024-01-01 03:12:00,24.13,8.09,6.65
2024-01-01 03:13:00,22.96,7.78,7.29
2024-01-01 03:14:00,24.1,7.27,6.48
2024-01-01 03:15:00,24.27,7.67,5.62
2024-01-01 03:16:00,23.25,7.54,6.82
2024-01-01 03:17:00,24.08,7.62,7.57
2024-01-01 03:18:00,24.01,7.54,6.86
2024-01-01 03:19:00,23.05,7.86,6.11
2024-01-01 03:20:00,24.25,7.6,5.96
2024-01-01 03:21:00,24.41,7.48,6.02
2024-01-01 03:22:00,24.83,7.81,7.5
2024-01-01 03:23:00,24.8,7.57,6.34
2024-01-01 03:24:00,22.86,7.54,6.17
2024-01-01 03:25:00,23.21,7.59,6.42
2024-01-01 03:26:00,24.37,7.47,6.34
2024-01-01 03:27:00,24.37,7.5,7.28
2024-01-01 03:28:00,24.37,7.32,5.99
2024-01-01 03:29:00,27.04,7.27,7.09
2024-01-01 03:30:00,24.41,7.2,6.56
2024-01-01 03:31:00,24.87,7.08,7.1
2024-01-01 03:32:00,24.72,7.24,7.29
2024-01-01 03:33:00,24.48,7.45,6.54
2024-01-01 03:34:00,23.7,7.53,6.34
2024-01-01 03:35:00,24.56,7.42,6.53
2024-01-01 03:36:00,23.34,7.0,6.45
2024-01-01 03:37:00,23.77,7.97,5.67
2024-01-01 03:38:00,23.57,7.83,7.28
2024-01-01 03:39:00,24.02,7.63,6.62
2024-01-01 03:40:00,25.81,8.07,5.92
2024-01-01 03:41:00,22.46,7.21,5.47
2024-01-01 03:42:00,24.5,8.07,5.34
2024-01-01 03:43:00,22.67,7.21,6.89
2024-01-01 03:44:00,23.58,7.57,6.19
2024-01-01 03:45:00,24.83,7.12,6.27
2024-01-01 03:46:00,24.01,7.5,6.74
2024-01-01 03:47:00,23.09,7.62,6.24
2024-01-01 03:48:00,23.38,7.45,6.77
2024-01-01 03:49:00,24.5,7.71,6.55
2024-01-01 03:50:00,23.37,7.53,6.46
2024-01-01 03:51:00,24.13,7.34,5.71
2024-01-01 03:52:00,23.99,7.33,6.09
2024-01-01 03:53:00,23.43,7.74,6.8
2024-01-01 03:54:00,25.67,7.3,6.16
2024-01-01 03:55:00,24.46,7.77,7.1
2024-01-01 03:56:00,22.33,7.87,7.67
2024-01-01 03:57:00,24.1,7.0,6.83
2024-01-01 03:58:00,23.42,7.84,7.25
2024-01-01 03:59:00,24.63,8.12,6.86
2024-01-01 04:00:00,23.32,7.58,6.23
2024-01-01 04:01:00,23.86,7.68,6.6
2024-01-01 04:02:00,24.36,7.81,7.51
2024-01-01 04:03:00,24.64,7.42,6.24
2024-01-01 04:04:00,22.99,7.55,5.98
2024-01-01 04:05:00,23.68,7.11,5.93
2024-01-01 04:06:00,23.57,7.54,6.39
2024-01-01 04:07:00,23.43,7.65,6.0
2024-01-01 04:08:00,25.36,7.65,7.34
2024-01-01 04:09:00,24.27,7.82,6.61
2024-01-01 04:10:00,22.94,7.27,6.99
2024-01-01 04:11:00,24.68,7.34,6.35
2024-01-01 04:12:00,25.65,8.07,5.93
2024-01-01 04:13:00,24.78,7.45,5.85
2024-01-01 04:14:00,22.73,7.56,6.05
2024-01-01 04:15:00,23.56,7.48,6.67
2024-01-01 04:16:00,24.96,7.25,6.76
2024-01-01 04:17:00,23.38,7.99,6.8
2024-01-01 04:18:00,24.3,7.34,5.76
2024-01-01 04:19:00,24.57,7.16,6.5
2024-01-01 04:20:00,23.21,7.36,5.99
2024-01-01 04:21:00,23.9,7.0,6.7
2024-01-01 04:22:00,22.0,7.3,6.74
2024-01-01 04:23:00,23.13,7.21,5.91
2024-01-01 04:24:00,23.75,7.69,6.98
2024-01-01 04:25:00,22.95,7.3,7.67
2024-01-01 04:26:00,25.25,7.77,6.92
2024-01-01 04:27:00,22.8,7.92,6.42
2024-01-01 04:28:00,23.59,7.73,6.34
2024-01-01 04:29:00,24.05,7.44,6.4
2024-01-01 04:30:00,25.1,7.54,6.12
2024-01-01 04:31:00,22.8,7.04,6.63
2024-01-01 04:32:00,24.88,7.46,5.93
2024-01-01 04:33:00,23.95,7.24,5.56
2024-01-01 04:34:00,23.16,7.71,6.61
2024-01-01 04:35:00,24.31,8.27,6.51
2024-01-01 04:36:00,24.1,7.65,6.21
2024-01-01 04:37:00,23.46,7.0,5.86
2024-01-01 04:38:00,24.0,7.39,6.64
2024-01-01 04:39:00,23.64,7.54,6.0
2024-01-01 04:40:00,24.03,7.53,6.43
2024-01-01 04:41:00,24.47,7.28,7.38
2024-01-01 04:42:00,25.21,7.57,6.83
2024-01-01 04:43:00,22.95,7.13,5.82
2024-01-01 04:44:00,25.65,7.22,5.86
2024-01-01 04:45:00,22.38,7.69,6.58
2024-01-01 04:46:00,23.82,7.2,5.81
2024-01-01 04:47:00,24.41,7.66,5.5
2024-01-01 04:48:00,24.17,7.09,6.77
2024-01-01 04:49:00,23.44,8.03,6.66
2024-01-01 04:50:00,23.78,7.27,6.73
2024-01-01 04:51:00,23.55,7.43,6.63
2024-01-01 04:52:00,23.47,7.6,6.47
2024-01-01 04:53:00,24.62,7.33,6.17
2024-01-01 04:54:00,24.23,7.54,6.76
2024-01-01 04:55:00,23.39,7.67,7.26
2024-01-01 04:56:00,24.66,7.79,6.25
2024-01-01 04:57:00,24.19,7.74,5.99
2024-01-01 04:58:00,24.59,7.45,5.93
2024-01-01 04:59:00,24.44,7.46,6.07
2024-01-01 05:00:00,23.28,8.2,6.6
2024-01-01 05:01:00,23.49,7.78,5.43
2024-01-01 05:02:00,24.54,7.22,6.72
2024-01-01 05:03:00,24.43,7.53,6.82
2024-01-01 05:04:00,23.92,7.4,5.6
2024-01-01 05:05:00,24.03,7.46,6.01
2024-01-01 05:06:00,24.96,7.13,6.54
2024-01-01 05:07:00,23.47,7.38,6.43
2024-01-01 05:08:00,24.38,8.04,6.76
2024-01-01 05:09:00,23.78,7.67,6.43
2024-01-01 05:10:00,23.76,7.0,7.13
2024-01-01 05:11:00,24.82,7.87,6.34
2024-01-01 05:12:00,24.6,7.83,6.01
2024-01-01 05:13:00,24.59,7.39,5.97
2024-01-01 05:14:00,24.98,7.72,6.87
2024-01-01 05:15:00,23.95,7.24,6.51
2024-01-01 05:16:00,24.48,7.36,6.82
2024-01-01 05:17:00,23.69,7.95,6.81
2024-01-01 05:18:00,24.2,7.42,5.49
2024-01-01 05:19:00,23.83,7.0,5.93
2024-01-01 05:20:00,24.01,7.48,5.99
2024-01-01 05:21:00,24.41,7.48,6.09
2024-01-01 05:22:00,23.28,7.86,6.29
2024-01-01 05:23:00,25.61,7.5,7.0
2024-01-01 05:24:00,23.13,7.37,7.1
2024-01-01 05:25:00,22.96,7.81,6.35
2024-01-01 05:26:00,24.86,7.54,6.37
2024-01-01 05:27:00,24.57,7.27,6.15
2024-01-01 05:28:00,24.43,7.85,6.54
2024-01-01 05:29:00,24.44,7.56,6.6
2024-01-01 05:30:00,23.92,7.5,6.9
2024-01-01 05:31:00,23.22,7.55,6.9
2024-01-01 05:32:00,23.99,7.18,5.35
2024-01-01 05:33:00,23.39,7.34,6.42
2024-01-01 05:34:00,24.71,7.5,7.19
2024-01-01 05:35:00,23.82,7.44,6.28
2024-01-01 05:36:00,23.27,7.88,7.07
2024-01-01 05:37:00,23.68,7.57,6.35
2024-01-01 05:38:00,24.26,7.76,6.59
2024-01-01 05:39:00,23.48,7.5,5.93
2024-01-01 05:40:00,23.27,7.82,5.95
2024-01-01 05:41:00,24.13,7.62,6.86
2024-01-01 05:42:00,24.13,7.5,6.94
2024-01-01 05:43:00,23.53,7.5,6.51
2024-01-01 05:44:00,23.55,7.21,5.89
2024-01-01 05:45:00,24.12,7.65,6.52
2024-01-01 05:46:00,22.77,7.49,7.13
2024-01-01 05:47:00,22.8,7.35,7.37
2024-01-01 05:48:00,23.36,7.83,6.34
2024-01-01 05:49:00,23.76,7.12,5.67
2024-01-01 05:50:00,24.18,7.37,6.92
2024-01-01 05:51:00,25.11,7.81,6.36
2024-01-01 05:52:00,24.62,7.59,6.97
2024-01-01 05:53:00,23.8,7.49,6.64
2024-01-01 05:54:00,23.91,7.58,6.06
2024-01-01 05:55:00,23.13,7.55,6.53
2024-01-01 05:56:00,23.91,7.05,7.15
2024-01-01 05:57:00,23.7,7.4,6.43
2024-01-01 05:58:00,24.19,7.98,5.98
2024-01-01 05:59:00,23.27,7.3,5.71
2024-01-01 06:00:00,24.34,7.4,6.11
2024-01-01 06:01:00,25.15,7.34,6.29
2024-01-01 06:02:00,23.84,7.47,6.91
2024-01-01 06:03:00,24.25,7.33,5.94
2024-01-01 06:04:00,24.48,7.65,7.28
2024-01-01 06:05:00,23.61,7.56,5.83
2024-01-01 06:06:00,24.11,7.73,7.67
2024-01-01 06:07:00,23.94,7.18,7.36
2024-01-01 06:08:00,24.0,7.4,6.57
2024-01-01 06:09:00,23.31,7.43,5.68
2024-01-01 06:10:00,23.95,7.64,6.47
2024-01-01 06:11:00,24.32,7.26,6.31
2024-01-01 06:12:00,25.09,7.77,5.86
2024-01-01 06:13:00,24.69,7.86,6.65
2024-01-01 06:14:00,25.65,7.2,6.09
2024-01-01 06:15:00,23.31,7.35,6.14
2024-01-01 06:16:00,24.62,7.34,6.4
2024-01-01 06:17:00,24.07,8.29,6.21
2024-01-01 06:18:00,25.68,7.37,7.54
2024-01-01 06:19:00,23.28,8.0,6.23
2024-01-01 06:20:00,23.25,7.12,6.72
2024-01-01 06:21:00,23.44,7.2,6.57
2024-01-01 06:22:00,22.22,7.29,6.68
2024-01-01 06:23:00,23.5,7.25,6.71
2024-01-01 06:24:00,23.32,7.42,6.94
2024-01-01 06:25:00,24.04,7.29,6.63
2024-01-01 06:26:00,24.2,7.25,6.61
2024-01-01 06:27:00,25.42,7.85,6.53
2024-01-01 06:28:00,24.68,7.87,6.43
2024-01-01 06:29:00,23.46,7.78,6.04
2024-01-01 06:30:00,23.2,7.66,6.47
2024-01-01 06:31:00,24.32,7.53,6.62
2024-01-01 06:32:00,22.87,7.35,6.7
2024-01-01 06:33:00,25.39,7.21,6.59
2024-01-01 06:34:00,24.86,7.61,6.38
2024-01-01 06:35:00,23.55,7.15,6.47
2024-01-01 06:36:00,22.55,7.2,6.22
2024-01-01 06:37:00,25.0,7.85,6.66
2024-01-01 06:38:00,23.83,8.07,6.39
2024-01-01 06:39:00,24.91,7.62,6.59
2024-01-01 06:40:00,22.64,7.83,7.0
2024-01-01 06:41:00,23.44,7.43,6.15
2024-01-01 06:42:00,23.92,7.1,6.8
2024-01-01 06:43:00,23.96,7.68,6.52
2024-01-01 06:44:00,23.56,7.67,7.51
2024-01-01 06:45:00,24.42,7.52,6.39
2024-01-01 06:46:00,23.06,7.43,6.85
2024-01-01 06:47:00,23.8,7.79,6.51
2024-01-01 06:48:00,24.01,7.2,5.81
2024-01-01 06:49:00,24.33,7.27,6.24
2024-01-01 06:50:00,24.49,7.2,6.94
2024-01-01 06:51:00,23.02,7.53,6.28
2024-01-01 06:52:00,22.69,7.17,5.39
2024-01-01 06:53:00,24.94,7.29,6.48
2024-01-01 06:54:00,24.18,7.29,5.95
2024-01-01 06:55:00,23.32,7.42,6.57
2024-01-01 06:56:00,25.16,7.05,7.28
2024-01-01 06:57:00,24.01,7.53,6.88
2024-01-01 06:58:00,24.86,7.87,7.27
2024-01-01 06:59:00,23.97,7.54,6.22
2024-01-01 07:00:00,29.06,7.96,6.43
2024-01-01 07:01:00,28.82,7.9,5.98
2024-01-01 07:02:00,27.22,7.73,6.16
2024-01-01 07:03:00,28.19,7.52,6.04
2024-01-01 07:04:00,27.93,7.51,5.85
2024-01-01 07:05:00,28.51,7.73,7.18
2024-01-01 07:06:00,26.64,7.38,5.45
2024-01-01 07:07:00,27.96,7.0,7.19
2024-01-01 07:08:00,28.26,7.65,7.12
2024-01-01 07:09:00,26.01,7.16,6.75
2024-01-01 07:10:00,26.47,7.21,5.94
2024-01-01 07:11:00,25.78,7.5,5.71
2024-01-01 07:12:00,27.2,7.47,6.23
2024-01-01 07:13:00,27.99,7.08,6.81
2024-01-01 07:14:00,28.62,7.55,6.5
2024-01-01 07:15:00,27.47,7.79,5.98
2024-01-01 07:16:00,28.72,7.16,7.07
2024-01-01 07:17:00,26.31,7.88,7.34
2024-01-01 07:18:00,26.05,7.03,6.39
2024-01-01 07:19:00,27.37,8.14,6.55
2024-01-01 07:20:00,27.72,7.38,5.75
2024-01-01 07:21:00,27.39,7.54,6.29
2024-01-01 07:22:00,25.76,7.0,6.76
2024-01-01 07:23:00,27.34,7.48,6.68
2024-01-01 07:24:00,26.37,7.57,6.25
2024-01-01 07:25:00,27.95,7.47,6.36
2024-01-01 07:26:00,27.7,7.33,6.28
2024-01-01 07:27:00,26.66,7.22,6.36
2024-01-01 07:28:00,27.0,7.84,6.71
2024-01-01 07:29:00,26.56,7.51,5.52
2024-01-01 07:30:00,27.36,7.96,6.46
2024-01-01 07:31:00,28.17,7.34,6.67
2024-01-01 07:32:00,26.62,7.37,6.21
2024-01-01 07:33:00,27.81,7.74,6.26
2024-01-01 07:34:00,26.98,7.01,6.27
2024-01-01 07:35:00,26.77,7.14,6.26
2024-01-01 07:36:00,27.32,7.83,6.5
2024-01-01 07:37:00,26.58,7.15,6.56
2024-01-01 07:38:00,26.97,7.0,5.45
2024-01-01 07:39:00,26.45,8.06,6.83
2024-01-01 07:40:00,28.98,7.08,6.36
2024-01-01 07:41:00,27.44,7.56,7.47
2024-01-01 07:42:00,26.85,7.52,5.9
2024-01-01 07:43:00,27.58,7.0,6.07
2024-01-01 07:44:00,27.32,7.42,6.4
2024-01-01 07:45:00,27.23,7.63,6.71
2024-01-01 07:46:00,27.9,7.61,5.52
2024-01-01 07:47:00,28.01,7.77,6.09
2024-01-01 07:48:00,26.98,7.38,6.8
2024-01-01 07:49:00,26.95,7.71,6.03
2024-01-01 07:50:00,27.19,7.29,7.19
2024-01-01 07:51:00,25.56,7.08,6.27
2024-01-01 07:52:00,26.19,7.11,6.05
2024-01-01 07:53:00,28.5,7.06,6.81
2024-01-01 07:54:00,28.72,7.8,7.3
2024-01-01 07:55:00,27.21,7.05,6.71
2024-01-01 07:56:00,27.87,7.58,7.13
2024-01-01 07:57:00,27.65,7.42,7.34
2024-01-01 07:58:00,29.87,7.47,6.04
2024-01-01 07:59:00,28.3,7.91,6.97
2024-01-01 08:00:00,27.3,7.37,5.74
2024-01-01 08:01:00,26.64,7.68,6.71
2024-01-01 08:02:00,26.12,7.51,6.46
2024-01-01 08:03:00,27.57,7.45,7.12
2024-01-01 08:04:00,26.8,8.19,7.09
2024-01-01 08:05:00,26.27,7.07,6.78
2024-01-01 08:06:00,26.89,7.89,6.65
2024-01-01 08:07:00,26.54,7.7,6.75
2024-01-01 08:08:00,28.75,7.36,6.53
2024-01-01 08:09:00,28.11,7.99,6.47
2024-01-01 08:10:00,27.4,7.0,7.22
2024-01-01 08:11:00,28.59,7.34,7.28
2024-01-01 08:12:00,27.46,7.14,6.43
2024-01-01 08:13:00,26.71,7.62,6.62
2024-01-01 08:14:00,28.62,7.17,6.54
2024-01-01 08:15:00,27.83,7.63,5.69
2024-01-01 08:16:00,26.57,7.44,6.33
2024-01-01 08:17:00,27.25,7.36,7.3
2024-01-01 08:18:00,26.7,7.62,6.13
2024-01-01 08:19:00,26.29,7.42,7.56
2024-01-01 08:20:00,28.14,7.17,7.09
2024-01-01 08:21:00,28.93,8.34,6.7
2024-01-01 08:22:00,26.28,7.35,6.78
2024-01-01 08:23:00,27.85,7.0,6.04
2024-01-01 08:24:00,26.88,7.25,6.37
2024-01-01 08:25:00,27.01,7.12,7.22
2024-01-01 08:26:00,26.92,7.75,6.19
2024-01-01 08:27:00,26.71,7.6,7.03
2024-01-01 08:28:00,27.44,7.62,5.81
2024-01-01 08:29:00,26.73,7.39,5.9
2024-01-01 08:30:00,27.61,7.42,7.45
2024-01-01 08:31:00,27.36,7.39,6.49
2024-01-01 08:32:00,27.21,7.48,6.23
2024-01-01 08:33:00,26.67,7.75,7.18
2024-01-01 08:34:00,26.94,7.6,7.12
2024-01-01 08:35:00,28.0,7.65,6.96
2024-01-01 08:36:00,27.8,7.65,6.22
2024-01-01 08:37:00,26.61,7.77,6.36
2024-01-01 08:38:00,27.48,7.59,6.66
2024-01-01 08:39:00,28.0,7.61,6.85
2024-01-01 08:40:00,26.06,7.86,6.25
2024-01-01 08:41:00,27.83,7.3,6.59
2024-01-01 08:42:00,26.87,7.24,6.63
2024-01-01 08:43:00,27.85,7.14,7.14
2024-01-01 08:44:00,26.78,7.55,6.88
2024-01-01 08:45:00,25.95,7.0,5.75
2024-01-01 08:46:00,26.09,7.64,6.39
2024-01-01 08:47:00,27.43,7.47,6.04
2024-01-01 08:48:00,27.6,7.84,6.78
2024-01-01 08:49:00,26.67,7.3,6.96
2024-01-01 08:50:00,27.9,7.44,6.55
2024-01-01 08:51:00,26.06,7.84,6.37
2024-01-01 08:52:00,27.34,7.91,6.53
2024-01-01 08:53:00,26.42,7.3,6.6
2024-01-01 08:54:00,26.87,7.55,6.18
2024-01-01 08:55:00,27.43,7.59,5.89
2024-01-01 08:56:00,26.7,7.61,5.47
2024-01-01 08:57:00,27.08,7.42,7.13
2024-01-01 08:58:00,28.2,7.88,6.75
2024-01-01 08:59:00,26.93,7.0,6.68
2024-01-01 09:00:00,28.06,7.37,7.13
2024-01-01 09:01:00,26.49,7.63,5.87
2024-01-01 09:02:00,27.82,7.64,5.63
2024-01-01 09:03:00,28.54,7.91,6.69
2024-01-01 09:04:00,25.41,7.86,6.65
2024-01-01 09:05:00,26.75,7.41,5.63
2024-01-01 09:06:00,27.85,7.89,6.68
2024-01-01 09:07:00,27.23,7.29,6.3
2024-01-01 09:08:00,27.69,7.78,6.1
2024-01-01 09:09:00,26.91,8.04,6.33
2024-01-01 09:10:00,27.46,7.86,5.28
2024-01-01 09:11:00,27.27,7.53,6.2
2024-01-01 09:12:00,28.32,7.4,6.15
2024-01-01 09:13:00,27.59,7.04,6.78
2024-01-01 09:14:00,27.66,7.59,6.42
2024-01-01 09:15:00,27.06,7.17,6.82
2024-01-01 09:16:00,27.0,7.26,5.23
2024-01-01 09:17:00,27.04,7.14,6.08
